Question	Answer	Source	Metadata
สวัสดี	สวัสดีค่ะ มีอะไรให้พี่หมีช่วยไหมคะ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
ดีค่ะ	สวัสดีค่ะ มีอะไรให้พี่หมีช่วยไหมคะ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
ดีจ้า	สวัสดีค่ะ มีอะไรให้พี่หมีช่วยไหมคะ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
สวัสดีค่ะ	สวัสดีค่ะ มีอะไรให้พี่หมีช่วยไหมคะ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
ใครคือผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ	ผู้ที่มีสัญชาติไทย  มีเลขประจำตัวประชาชน 13 หลัก  และไม่มีสวัสดิการด้านการรักษาพยาบาลอื่นใดที่รัฐจัดให้ จะได้สิทธิไปเรยจ้า	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
ใครมีสิทธิบ้าง	ผู้ที่มีสัญชาติไทย  มีเลขประจำตัวประชาชน 13 หลัก  และไม่มีสวัสดิการด้านการรักษาพยาบาลอื่นใดที่รัฐจัดให้ จะได้สิทธิไปเรยจ้า	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
ต่างด้าว	ไม่ได้จ้า เนื่องจากไม่ใช่ผู้มีสัญชาติไทย การออกสูติบัตรและหมายเลขประจำตัวประชาชน 13 หลักนั้น เป็นการออกให้ตามมาตรา 20 แห่งพระราชบัญญัติการทะเบียนราษฎร (ฉบับที่ 2) พ.ศ.2551 ซึ่งไม่ใช่การรับรองหรือการให้สัญชาติไทย เด็กหญิงมุยจึงไม่ใช่ผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ ปัจจุบันสำนักงานปลัดกระทรวงสาธารณสุขได้ดำเนินการขายบัตรประกันสุขภาพแห่งชาติให้กับกลุ่มดังกล่าว เพื่อใช้สิทธิในการรักษาพยาบาล โดยติดต่อขอซื้อบัตรดังกล่าวได้ที่ รพ. รัฐสังกัดกระทรวงสาธารณสุขใกล้บ้าน ชัดเจนเนอะ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
มีสิทธิไหม	ไม่ได้จ้า เนื่องจากไม่ใช่ผู้มีสัญชาติไทย การออกสูติบัตรและหมายเลขประจำตัวประชาชน 13 หลักนั้น เป็นการออกให้ตามมาตรา 20 แห่งพระราชบัญญัติการทะเบียนราษฎร (ฉบับที่ 2) พ.ศ.2551 ซึ่งไม่ใช่การรับรองหรือการให้สัญชาติไทย เด็กหญิงมุยจึงไม่ใช่ผู้มีสิทธิหลักประกันสุขภาพแห่งชาติ ปัจจุบันสำนักงานปลัดกระทรวงสาธารณสุขได้ดำเนินการขายบัตรประกันสุขภาพแห่งชาติให้กับกลุ่มดังกล่าว เพื่อใช้สิทธิในการรักษาพยาบาล โดยติดต่อขอซื้อบัตรดังกล่าวได้ที่ รพ. รัฐสังกัดกระทรวงสาธารณสุขใกล้บ้าน ชัดเจนเนอะ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
บุตรบุญธรรม	ได้จ้า  เนื่องจากข้าราชการไม่สามารถเบิกค่ารักษาพยาบาลให้กับบุตรบุญธรรมได้	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
กำนัน 	ใช้สิทธิได้นะ เนื่องจากกำนัน ผู้ใหญ่บ้านเป็นผู้ช่วยเจ้าพนักงาน ไม่ใช่ข้าราชการ และไม่ได้รับสวัสดิการด้านการรักษาพยาบาลจากกระทรวงมหาดไทย จึงถือเป็นผู้มีสิทธิหลักประกันสุขภาพ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
ผู้ใหญ่บ้าน	ใช้สิทธิได้นะ เนื่องจากกำนัน ผู้ใหญ่บ้านเป็นผู้ช่วยเจ้าพนักงาน ไม่ใช่ข้าราชการ และไม่ได้รับสวัสดิการด้านการรักษาพยาบาลจากกระทรวงมหาดไทย จึงถือเป็นผู้มีสิทธิหลักประกันสุขภาพ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
ใช้สิทธิหลักประกันสุขภาพได้หรือไม่ 	ใช้สิทธิได้นะ เนื่องจากกำนัน ผู้ใหญ่บ้านเป็นผู้ช่วยเจ้าพนักงาน ไม่ใช่ข้าราชการ และไม่ได้รับสวัสดิการด้านการรักษาพยาบาลจากกระทรวงมหาดไทย จึงถือเป็นผู้มีสิทธิหลักประกันสุขภาพ	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
ลูกจ้างทำงานบ้าน ได้ค่าจ้างรายวันจะลงทะเบียนสิทธิหลักประกันสุขภาพได้หรือไม่	ได้นะ  เนื่องจากเป็นการทำงานเพื่อประโยชน์เฉพาะตัวของนายจ้างเท่านั้น มิได้มีส่วนเกี่ยวข้องกับธุรกิจของสถานประกอบการ จึงไม่เข้าข่ายเป็นผู้ประกันตน สามารถลงทะเบียนสิทธิหลักประกันสุขภาพได้	https://raw.githubusercontent.com/facgure/Bot-Knowledge-Base/master/www.nhso.go.th/QnA-00001.tsv
